2019-08-06 14:08:17,229 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'banksteel-commvault-manage(192.168.203.254)', 'instance UUID': '503848ee-eceb-575e-b14e-5ac8babd1121', 'Cpu': 16, 'memory Size': 4096, 'path to VM': '[local10] banksteel-logstash-test08(192.168.100.79)/banksteel-logstash-test08(192.168.100.79).vmx', 'guest OS name': 'Microsoft Windows Server 2008 R2 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.203.254', 'hostname': 'WIN-PEMS5CPB24L', 'last booted timestamp': datetime.datetime(2019, 8, 2, 2, 26, 55, 718000, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:17,349 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'vcsa-9f(192.168.203.250)', 'instance UUID': '52df548e-8f70-a241-d099-4a3a3f86924f', 'Cpu': 16, 'memory Size': 32768, 'path to VM': '[local10] vcsa-9f/vcsa-9f.vmx', 'guest OS name': 'SUSE Linux Enterprise 11 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.203.250', 'hostname': 'localhost', 'last booted timestamp': datetime.datetime(2019, 7, 31, 1, 44, 51, 48061, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:17,612 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-server-test03(192.168.201.33)', 'instance UUID': '50032e17-08a2-939e-397c-068f18671641', 'Cpu': 4, 'memory Size': 5120, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-server-test03(192.168.201.33)/mysteel-server-test03(192.168.201.33).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.201.33', 'hostname': 'vm-mysteel-server-test03', 'last booted timestamp': datetime.datetime(2019, 7, 30, 11, 44, 0, 388479, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:17,918 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-cdl-test01(192.168.200.180)', 'instance UUID': '500307e4-0bcd-572b-173a-6f43922cd86d', 'Cpu': 2, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-cdl-test01(192.168.200.180)/mysteel-cdl-test01(192.168.200.180).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.200.180', 'hostname': 'vm-mysteel-cdl-test01', 'last booted timestamp': datetime.datetime(2019, 7, 30, 6, 36, 22, 83999, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:18,138 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-cdl-test16(192.168.200.197)', 'instance UUID': '5003362b-8b01-e5a5-3aac-2d46dee52002', 'Cpu': 4, 'memory Size': 6144, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-cdl-test16(192.168.200.197)/mysteel-cdl-test16(192.168.200.197).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.200.197', 'hostname': 'vm-mysteel-cdl-test16', 'last booted timestamp': datetime.datetime(2019, 8, 1, 10, 28, 6, 892999, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:18,338 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': '9f-mysteel-map-server01(192.168.202.156)', 'instance UUID': '5038c88f-0606-5bda-8386-1a4979b94443', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] 9f-mysteel-map-server01(192.168.202.156)/9f-mysteel-map-server01(192.168.202.156).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.202.156', 'hostname': 'vm-9f-mysteel-map-server01', 'last booted timestamp': datetime.datetime(2019, 8, 3, 2, 38, 28, 613606, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:18,448 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysql-doris-frontend(192.168.100.52)', 'instance UUID': '50386ebf-51a8-6652-3673-c6f07c21bb0a', 'Cpu': 8, 'memory Size': 8192, 'path to VM': '[DNAS-Pro-Mysteel] mysql-doris-frontend(192.168.100.52)/mysql-doris-frontend(192.168.100.52).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.100.52', 'hostname': 'vm-mysql-doris-frontend', 'last booted timestamp': datetime.datetime(2019, 7, 30, 6, 37, 36, 465725, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:18,554 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': '9f-mysteel-info-test06(192.168.205.16)', 'instance UUID': '5038f922-512e-6ae0-ea76-6c2dea08dc36', 'Cpu': 4, 'memory Size': 4096, 'path to VM': '[DNAS-Pro-Mysteel] 9f-mysteel-info-test06(192.168.205.16)/9f-mysteel-info-test06(192.168.205.16).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.205.16', 'hostname': 'vm-9f-mysteel-info-test06', 'last booted timestamp': datetime.datetime(2019, 8, 6, 5, 27, 57, 664154, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:18,651 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-pm(192.168.100.190)', 'instance UUID': '500357d8-38b8-84c2-f86b-ac40c37efa46', 'Cpu': 8, 'memory Size': 8192, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-pm(192.168.100.190)/mysteel-pm(192.168.100.190).vmx', 'guest OS name': 'Microsoft Windows Server 2003 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.100.190', 'hostname': 'vm-mysteel-pm', 'last booted timestamp': datetime.datetime(2019, 7, 30, 6, 56, 42, 20000, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:18,746 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-daguang04(192.168.202.174)', 'instance UUID': '50381874-6aba-4e3b-0b08-51c2ef625b68', 'Cpu': 8, 'memory Size': 8192, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-daguang04/mysteel-daguang04.vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '172.16.240.1', 'hostname': 'vm-mysteel-daguang04', 'last booted timestamp': datetime.datetime(2019, 7, 31, 5, 14, 39, 969000, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
2019-08-06 14:08:18,846 - D:\cmdb\apps../..\vsphere_exec\virtual_machine_device_info.py[line:27] - INFO: 被检查的虚机:{'name': 'mysteel-daguang02(192.168.202.172)', 'instance UUID': '50389848-506f-8a8f-47bb-31835ff5f911', 'Cpu': 8, 'memory Size': 8192, 'path to VM': '[DNAS-Pro-Mysteel] mysteel-daguang02(192.168.202.172)/mysteel-daguang02(192.168.202.172).vmx', 'guest OS name': 'CentOS 4/5/6/7 (64-bit)', 'Template': False, 'powerstate': 'poweredOn', 'vmtools': 'guestToolsRunning', 'ipaddress': '192.168.202.172', 'hostname': 'vm-mysteel-daguang02', 'last booted timestamp': datetime.datetime(2019, 8, 2, 11, 42, 45, 198262, tzinfo=<pyVmomi.Iso8601.TZInfo object at 0x0000026427DDCE48>)}
